step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
178,3,22.0,0.0,32.0,32.0,0.44158935546875,84.12978600244969,4303.3583984375,,,,,
179,3,23.0,0.0,32.0,32.0,0.637481689453125,85.9243710001465,4303.3583984375,,,,,
180,3,24.0,0.0,32.0,32.0,0.4277801513671875,87.26236000075005,4303.3583984375,,,,,
181,3,25.0,0.0,32.0,32.0,0.427642822265625,84.57194600487128,4303.3583984375,,,,,
182,3,26.0,0.0,32.0,32.0,0.851287841796875,81.71722001861781,4303.3583984375,,,,,
183,3,27.0,0.0,32.0,32.0,0.5906829833984375,83.87521101394668,4303.3583984375,,,,,
184,3,28.0,0.0,32.0,32.0,0.5878829956054688,86.09300199896097,4303.3583984375,,,,,
185,3,29.0,0.0,32.0,32.0,0.55499267578125,83.8743960193824,4303.3583984375,,,,,
186,3,30.0,0.0,32.0,32.0,0.433197021484375,84.71714198822156,4303.3583984375,,,,,
187,3,31.0,0.0,32.0,32.0,0.519012451171875,83.61423198948614,4303.3583984375,,,,,
188,3,32.0,0.0,32.0,32.0,0.4949951171875,84.34824299183674,4303.3583984375,,,,,
189,3,33.0,0.0,32.0,32.0,0.2964630126953125,85.54018300492316,4303.3583984375,,,,,
190,3,34.0,0.0,32.0,32.0,0.452667236328125,84.05661399592645,4303.3583984375,,,,,
191,3,35.0,0.0,32.0,32.0,0.2333297729492187,86.38779498869553,4303.3583984375,,,,,
192,3,36.0,0.0,32.0,32.0,0.6258544921875,84.82930000172928,4303.3583984375,,,,,
193,3,37.0,0.0,32.0,32.0,0.4628143310546875,85.30186300049536,4303.3583984375,,,,,
194,3,38.0,0.0,32.0,32.0,0.3260574340820312,83.15983100328594,4303.3583984375,,,,,
195,3,39.0,0.0,32.0,32.0,0.3285369873046875,84.25455301767215,4303.3583984375,,,,,
196,3,40.0,0.0,32.0,32.0,0.4835739135742187,85.14812900102697,4303.3583984375,,,,,
197,3,41.0,0.0,32.0,32.0,0.4276199340820312,85.23848300683312,4303.3583984375,,,,,
198,3,42.0,0.0,32.0,32.0,0.5183448791503906,83.03661597892642,4303.3583984375,,,,,
199,3,43.0,0.0,32.0,32.0,0.4925689697265625,83.72114700614475,4303.3583984375,,,,,
200,3,44.0,0.0,32.0,32.0,0.4726943969726562,85.12327598873526,4303.3583984375,,,,,
201,3,45.0,0.0,32.0,32.0,0.3370513916015625,85.20956200663932,4303.3583984375,,,,,
202,3,46.0,0.0,32.0,32.0,0.4278182983398437,85.22459099185653,4303.3583984375,,,,,
203,3,47.0,0.0,32.0,32.0,0.39862060546875,84.03130399528891,4303.3583984375,,,,,
204,3,48.0,0.0,32.0,32.0,0.340576171875,84.33063302072696,4303.3583984375,,,,,
205,3,49.0,0.0,32.0,32.0,0.7572860717773438,85.75219599879347,4303.3583984375,,,,,
206,3,50.0,0.0,32.0,32.0,0.4461135864257812,84.20974400360137,4303.3583984375,,,,,
207,3,51.0,0.0,32.0,32.0,0.775665283203125,83.8291110121645,4303.3583984375,,,,,
208,3,52.0,0.0,32.0,32.0,0.4891510009765625,84.95567299542017,4303.3583984375,,,,,
209,3,53.0,0.0,32.0,32.0,0.3899765014648437,84.939819003921,4303.3583984375,,,,,
210,3,54.0,0.0,32.0,32.0,0.4681015014648437,83.75087499734946,4303.3583984375,,,,,
211,3,55.0,0.0,32.0,32.0,0.5753173828125,83.61108100507408,4303.3583984375,,,,,
212,3,56.0,0.0,32.0,32.0,0.5887374877929688,84.76549398619682,4303.3583984375,,,,,
213,3,57.0,0.0,32.0,32.0,0.5757598876953125,87.89513498777524,4303.3583984375,,,,,
214,3,58.0,0.0,32.0,32.0,0.51312255859375,84.10959198954515,4303.3583984375,,,,,
215,3,59.0,0.0,32.0,32.0,0.4576263427734375,84.56154700252227,4303.3583984375,,,,,
216,3,60.0,0.0,32.0,32.0,0.5327529907226562,84.65075501590036,4303.3583984375,,,,,
217,3,61.0,0.0,32.0,32.0,0.5194244384765625,85.51737599191256,4303.3583984375,,,,,
218,3,62.0,0.0,32.0,32.0,0.54876708984375,82.25096599198878,4303.3583984375,,,,,
219,3,63.0,0.0,32.0,32.0,0.5243072509765625,85.24238498648629,4303.3583984375,,,,,
220,3,64.0,0.0,32.0,32.0,0.665740966796875,86.78402099758387,4303.3583984375,,,,,
221,3,65.0,0.0,32.0,32.0,0.537506103515625,84.86542999162339,4303.3583984375,,,,,
222,3,66.0,0.0,32.0,32.0,0.4528121948242187,82.7531150134746,4303.3583984375,,,,,
223,3,67.0,0.0,32.0,32.0,0.5462570190429688,83.99774000281468,4303.3583984375,,,,,
224,3,68.0,0.0,32.0,32.0,0.4217071533203125,85.46088298317045,4303.3583984375,,,,,
225,3,69.0,0.0,32.0,32.0,0.4731597900390625,84.52399802627042,4303.3583984375,,,,,
226,3,70.0,0.0,32.0,32.0,0.3161773681640625,84.58525798050687,4303.3583984375,,,,,
227,3,71.0,0.0,32.0,32.0,0.3065185546875,84.15076500386931,4303.3583984375,,,,,
228,3,72.0,0.0,32.0,32.0,0.3876800537109375,85.53141899756156,4303.3583984375,,,,,
229,3,73.0,0.0,32.0,32.0,0.6364593505859375,84.40810898900963,4303.3583984375,,,,,
230,3,74.0,0.0,32.0,32.0,0.5607757568359375,83.1499730120413,4303.3583984375,,,,,
231,3,75.0,0.0,32.0,32.0,0.4068717956542969,85.12656099628657,4303.3583984375,,,,,
232,3,76.0,0.0,32.0,32.0,0.3690834045410156,83.88528600335121,4303.3583984375,,,,,
233,3,77.0,0.0,32.0,32.0,0.4832763671875,85.86051099700853,4303.3583984375,,,,,
234,3,78.0,0.0,26.0,26.0,0.7058950662612915,73.47576098982245,3852.2724609375,,,,,
234,3,,1.0,32.0,32.0,,73.47576098982245,3852.2724609375,0.7364620938628159,0.5970661640167236,0.8911646586345382,0.2917996240923038,0.1547025647717222
235,4,1.0,0.0,32.0,32.0,0.2972030639648437,71.4766200107988,4303.3583984375,,,,,
236,4,2.0,0.0,32.0,32.0,0.3175125122070312,83.68504102691077,4303.3583984375,,,,,
237,4,3.0,0.0,32.0,32.0,0.2474746704101562,85.07364898105152,4303.3583984375,,,,,
238,4,4.0,0.0,32.0,32.0,0.3441619873046875,85.05802898434922,4303.3583984375,,,,,
239,4,5.0,0.0,32.0,32.0,0.2689361572265625,84.85948000452481,4303.3583984375,,,,,
240,4,6.0,0.0,32.0,32.0,0.4647331237792969,83.33739498630166,4303.3583984375,,,,,
241,4,7.0,0.0,32.0,32.0,0.2455787658691406,83.58433700050227,4303.3583984375,,,,,
242,4,8.0,0.0,32.0,32.0,0.4006023406982422,84.5480939897243,4303.3583984375,,,,,
243,4,9.0,0.0,32.0,32.0,0.4287681579589844,85.80859599169344,4303.3583984375,,,,,
244,4,10.0,0.0,32.0,32.0,0.3795585632324219,83.46080398769118,4303.3583984375,,,,,
245,4,11.0,0.0,32.0,32.0,0.213968276977539,85.16444300767034,4303.3583984375,,,,,
246,4,12.0,0.0,32.0,32.0,0.2664794921875,85.34207800403237,4303.3583984375,,,,,
247,4,13.0,0.0,32.0,32.0,0.2174720764160156,84.46871800697409,4303.3583984375,,,,,
248,4,14.0,0.0,32.0,32.0,0.3684539794921875,83.6234939924907,4303.3583984375,,,,,
249,4,15.0,0.0,32.0,32.0,0.3525314331054687,84.35750799253583,4303.3583984375,,,,,
250,4,16.0,0.0,32.0,32.0,0.2616233825683594,85.48037300352007,4303.3583984375,,,,,
251,4,17.0,0.0,32.0,32.0,0.3715648651123047,84.33508200687356,4303.3583984375,,,,,
252,4,18.0,0.0,32.0,32.0,0.2089500427246093,83.95521002239548,4303.3583984375,,,,,
253,4,19.0,0.0,32.0,32.0,0.4890213012695312,83.68333100224845,4303.3583984375,,,,,
254,4,20.0,0.0,32.0,32.0,0.327188491821289,79.43278198945336,4303.3583984375,,,,,
255,4,21.0,0.0,32.0,32.0,0.1264762878417968,87.11297699483112,4303.3583984375,,,,,
256,4,22.0,0.0,32.0,32.0,0.2354011535644531,84.87895299913362,4303.3583984375,,,,,
257,4,23.0,0.0,32.0,32.0,0.3094234466552734,83.841289015254,4303.3583984375,,,,,
258,4,24.0,0.0,32.0,32.0,0.3945217132568359,84.58051801426336,4303.3583984375,,,,,
259,4,25.0,0.0,32.0,32.0,0.2373542785644531,84.78637697407976,4303.3583984375,,,,,
260,4,26.0,0.0,32.0,32.0,0.3985786437988281,82.28543100995012,4303.3583984375,,,,,
261,4,27.0,0.0,32.0,32.0,0.2597160339355469,84.37183298519813,4303.3583984375,,,,,
262,4,28.0,0.0,32.0,32.0,0.5703239440917969,85.124780976912,4303.3583984375,,,,,
263,4,29.0,0.0,32.0,32.0,0.1740570068359375,85.4909960180521,4303.3583984375,,,,,
264,4,30.0,0.0,32.0,32.0,0.1971645355224609,84.11742700263858,4303.3583984375,,,,,
